enthusiasm,apathy
dexterous,maladroit
dexterous,inept
dexterous,clumsy
confidently,diffident
indiscriminate,discriminating
discriminating,doubt
certain,doubtful
precociousness,dumb
intelligence,dumbness
profaneness,fear
wisdom,folly
sapient,foolish
powerful,helpless
savvy,ignorance
knowledgeable,ignorant
logical,illogicality
logical,illogical
reality,imaginative
cautious,incautious
cautious,impulsive
ability,inability
active,torpid
active,inactive
capable,incapable
competent,unable
competent,incompetent
dependent,independent
effective,ineffective
efficient,inefficient
securely,insecure
rational,irrational
expeditious,lazy
energetic,lethargic
calculating,naive
heedful,negligent
continual,sporadic
intelligent,unintelligent
intelligent,stupid
cleverness,stupidity
insubordinate,submission
overbearing,submissive
enterprising,unenterprising
enterprising,unambitious
educated,uneducated
judicious,unwise
fortified,vulnerable
able,incapable
agency,deadhead
aggressive,peaceable
ambitious,unambitious
anxious,unconcerned
assertive,retract
assertiveness,negativist
autonomous,trussed
bright,dim
brilliant,dull
careless,careful
clever,stupid
confidence,distrust
confident,ambivalent
conscientious,slipshod
creative,unproductive
critical,uncritical
daring,timid
dedicated,unhallowed
determined,irresolute
docile,refractory
dominance,turbulence
dominant,subordinate
dominating,squat
education,ignorance
fearlessness,cowardliness
felicitous,infelicitous
graceful,graceless
industrious,shiftless
insightful,blind
inventive,unproductive
meek,overbearing
meticulous,imprecise
motivated,shiftless
persistence,discontinuance
persistent,sporadic
practical,quixotic
resilient,stiffness
resolute,irresolute
secure,unbrace
shrewd,witless
skill,inability
skilled,inexperienced
smart,unintelligent
spirited,spiritless
striver,deadhead
striving,peace
unwavering,wavering
wise,foolish